d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
39105,San Agustín,Barrio,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,02,029,0229,Urbano,
39105,San Isidro,Barrio,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,02,029,0230,Urbano,
39105,Guadalupe,Barrio,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,02,029,0231,Urbano,
39105,Santa Cruz,Barrio,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,02,029,0232,Urbano,
39105,Paseo del Sur,Fraccionamiento,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,21,029,0244,Urbano,
39105,Agua Zarca,Colonia,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,09,029,0254,Urbano,
39105,Villas Magisteriales,Fraccionamiento,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,21,029,0255,Urbano,
39105,10 de Junio,Colonia,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,09,029,4538,Urbano,
39105,Martires Antorchistas,Colonia,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,09,029,4552,Urbano,
39107,El Mirador,Colonia,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,09,029,0002,Urbano,
39110,Jaleaca de Catalán,Pueblo,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,28,029,0205,Rural,
39110,San Cristóbal,Pueblo,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,28,029,0206,Rural,
39110,Santa Bárbara,Pueblo,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,28,029,0207,Rural,
39110,La Cañada,Colonia,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,09,029,4551,Rural,
39111,Huiteco,Ranchería,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,29,029,0208,Rural,
39112,Gral. Heliodoro Castillo,Pueblo,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,28,029,0209,Rural,
39113,Chautipan,Ranchería,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,29,029,0210,Rural,
39115,Agua Hernández,Ranchería,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,29,029,0211,Rural,
39115,San Vicente,Ejido,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,15,029,0233,Rural,
39116,Carrizal de Pinzón,Ranchería,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,29,029,0212,Rural,
39116,Inscuinatoyac,Pueblo,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,28,029,0213,Rural,
39116,Santa Rita y Tecalco,Ranchería,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,29,029,0243,Rural,
39118,El Ciruelar,Ranchería,Chilpancingo de los Bravo,Guerrero,,39943,12,39943,,29,029,0219,Rural,
39119,Río Verde,Ranchería,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,29,029,0214,Rural,
39119,San Miguel,Ranchería,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,29,029,0215,Rural,
39120,Anáhuac,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1069,Semiurbano,
39120,El Ocotito Centro,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1120,Semiurbano,
39120,Cuauhtémoc,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1184,Semiurbano,
39120,El Calvario,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1232,Semiurbano,
39120,Miguel Hidalgo,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1493,Semiurbano,
39120,Morelos,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1503,Semiurbano,
39120,San Isidro,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1608,Semiurbano,
39120,Vista Hermosa,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,1728,Semiurbano,
39120,Vicente Guerrero,Colonia,Chilpancingo de los Bravo,Guerrero,Ocotito,39121,12,39121,,09,029,3705,Semiurbano,
39122,Buena Vista de la Salud,Pueblo,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,28,029,0222,Rural,
39123,Cuacoyulillo,Pueblo,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,28,029,0223,Rural,
39125,Cajelitos,Pueblo,Chilpancingo de los Bravo,Guerrero,,39001,12,39001,,28,029,0225,Rural,
39126,Zoyatepec,Pueblo,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,28,029,0226,Rural,
39127,Mohoneras,Pueblo,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,28,029,0217,Rural,
39127,La Haciendita,Ranchería,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,29,029,0221,Rural,
39127,Palo María,Colonia,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,09,029,4298,Rural,
39128,Julián Blanco (Dos Caminos),Pueblo,Chilpancingo de los Bravo,Guerrero,,39943,12,39943,,28,029,0220,Rural,
39129,Tlahuizapa,Pueblo,Chilpancingo de los Bravo,Guerrero,,39121,12,39121,,28,029,0218,Rural,
39130,Chapultepec,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0227,Rural,
39130,Chichiltepec,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0228,Rural,
39130,El Limoncillo,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0229,Rural,
39130,Huautla,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0230,Rural,
39130,La Ciénega,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0231,Rural,
39130,Puerto Castro,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0232,Rural,
39130,Tlacotepec Centro,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,0233,Urbano,
39130,Zopilostoc,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0234,Rural,
39130,Vista Hermosa,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,1729,Urbano,
39130,Cerro de la Bandera,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,4499,Urbano,
39130,El Zoquial,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,4566,Rural,
39130,De La Guadalupe,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,4627,Urbano,
39130,De la Merced,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,4628,Urbano,
39130,El Calvario,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,4629,Urbano,
39130,El Espino,Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,4630,Urbano,
39130,La Cañita (Colonia San Antonio),Colonia,General Heliodoro Castillo,Guerrero,,39139,12,39139,,09,032,4631,Urbano,
39131,Amacahuite,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0235,Rural,
39131,Ixtayotla,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0236,Rural,
39131,Tetela del Río,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0237,Rural,
39132,Acatlán del Río,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0238,Rural,
39132,El Amate,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0239,Rural,
39133,Ciruelo Amarillo,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0240,Rural,
39133,Ixtlahuaca,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0241,Rural,
39133,Las Laderas,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0242,Rural,
39134,Buenavista,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0243,Rural,
39134,San Antonio,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0244,Rural,
39134,Tecomasuchilt del Norte,Pueblo,General Heliodoro Castillo,Guerrero,,39139,12,39139,,28,032,0245,Rural,
39135,Coatepec del Ocote,Ranchería,General Heliodoro Castillo,Guerrero,,39139,12,39139,,29,032,0001,Rural,
